timestamp,flow statistics(forward),flow statistics(reverse),maximum bandwidth
Tue Mar 29 17:00:05 CST 2016,3492032,0,12500
Tue Mar 29 17:00:16 CST 2016,3852576,0,12500
Tue Mar 29 17:00:26 CST 2016,3852576,0,10000
Tue Mar 29 17:00:36 CST 2016,3953482,0,10000
Tue Mar 29 17:00:46 CST 2016,3854088,0,7500
Tue Mar 29 17:00:57 CST 2016,3853785,0,7500
Tue Mar 29 17:01:07 CST 2016,3855297,0,5000
Tue Mar 29 17:01:17 CST 2016,3822033,0,5000
Tue Mar 29 17:01:28 CST 2016,3854692,0,2500
Tue Mar 29 17:01:38 CST 2016,3858926,0,2500
Tue Mar 29 17:01:48 CST 2016,3854390,0,3750
Tue Mar 29 17:01:59 CST 2016,3857565,0,3750
Tue Mar 29 17:02:09 CST 2016,3851668,0,5000
Tue Mar 29 17:02:20 CST 2016,3665225,0,5000
Tue Mar 29 17:02:30 CST 2016,3856658,0,2500
Tue Mar 29 17:02:41 CST 2016,3854239,0,2500
Tue Mar 29 17:02:51 CST 2016,3853483,0,3750
Tue Mar 29 17:03:01 CST 2016,3843201,0,3750
Tue Mar 29 17:03:11 CST 2016,3848796,0,5000
Tue Mar 29 17:03:22 CST 2016,3871929,0,5000
Tue Mar 29 17:03:32 CST 2016,3858170,0,2500
Tue Mar 29 17:03:42 CST 2016,3856475,0,2500
Tue Mar 29 17:03:53 CST 2016,3851971,0,3750
Tue Mar 29 17:04:03 CST 2016,3856053,0,3750
Tue Mar 29 17:04:13 CST 2016,3875256,0,5000
Tue Mar 29 17:04:24 CST 2016,3854692,0,5000
Tue Mar 29 17:04:34 CST 2016,3855902,0,2500
Tue Mar 29 17:04:44 CST 2016,4043541,0,2500
Tue Mar 29 17:04:55 CST 2016,3854541,0,3750
Tue Mar 29 17:05:05 CST 2016,3854995,0,3750
Tue Mar 29 17:05:15 CST 2016,3836851,0,5000
Tue Mar 29 17:05:26 CST 2016,3504953,0,5000
Tue Mar 29 17:05:36 CST 2016,3856053,0,2500
Tue Mar 29 17:05:46 CST 2016,3850005,0,2500
Tue Mar 29 17:05:56 CST 2016,3856809,0,3750
Tue Mar 29 17:06:06 CST 2016,3851366,0,3750
Tue Mar 29 17:06:17 CST 2016,3855297,0,5000
Tue Mar 29 17:06:27 CST 2016,3853634,0,5000
Tue Mar 29 17:06:37 CST 2016,3855448,0,2500
Tue Mar 29 17:06:47 CST 2016,3857868,0,2500
Tue Mar 29 17:06:57 CST 2016,3857868,0,3750
Tue Mar 29 17:07:08 CST 2016,3955232,0,3750
Tue Mar 29 17:07:18 CST 2016,3854844,0,5000
Tue Mar 29 17:07:28 CST 2016,3854390,0,5000
Tue Mar 29 17:07:39 CST 2016,3856053,0,2500
Tue Mar 29 17:07:49 CST 2016,3852273,0,2500
Tue Mar 29 17:07:59 CST 2016,3854390,0,3750
Tue Mar 29 17:08:10 CST 2016,3857868,0,3750
Tue Mar 29 17:08:20 CST 2016,3853785,0,5000
Tue Mar 29 17:08:30 CST 2016,3843655,0,5000
Tue Mar 29 17:08:41 CST 2016,3507152,0,2500
Tue Mar 29 17:08:51 CST 2016,3852878,0,2500
Tue Mar 29 17:09:01 CST 2016,3845318,0,3750
Tue Mar 29 17:09:12 CST 2016,4041727,0,3750
Tue Mar 29 17:09:22 CST 2016,3859833,0,5000
Tue Mar 29 17:09:33 CST 2016,3854088,0,5000
Tue Mar 29 17:09:43 CST 2016,3861194,0,2500
Tue Mar 29 17:09:53 CST 2016,3851971,0,2500
Tue Mar 29 17:10:04 CST 2016,3851971,0,3750
Tue Mar 29 17:10:14 CST 2016,3856554,0,3750
Tue Mar 29 17:10:25 CST 2016,3856356,0,5000
Tue Mar 29 17:10:35 CST 2016,3846830,0,5000
Tue Mar 29 17:10:45 CST 2016,3852727,0,2500
Tue Mar 29 17:10:55 CST 2016,3855751,0,2500
Tue Mar 29 17:11:05 CST 2016,3855146,0,3750
Tue Mar 29 17:11:16 CST 2016,3843201,0,3750
Tue Mar 29 17:11:26 CST 2016,4043541,0,5000
Tue Mar 29 17:11:36 CST 2016,3851517,0,5000
Tue Mar 29 17:11:46 CST 2016,3853634,0,2500
Tue Mar 29 17:11:56 CST 2016,3502616,0,2500
Tue Mar 29 17:12:07 CST 2016,3855751,0,3750
Tue Mar 29 17:12:17 CST 2016,3861043,0,3750
Tue Mar 29 17:12:27 CST 2016,3857112,0,5000
Tue Mar 29 17:12:37 CST 2016,3852273,0,5000
Tue Mar 29 17:12:48 CST 2016,3855600,0,2500
Tue Mar 29 17:12:58 CST 2016,3852878,0,2500
Tue Mar 29 17:13:08 CST 2016,3848040,0,3750
Tue Mar 29 17:13:19 CST 2016,3846225,0,3750
Tue Mar 29 17:13:29 CST 2016,3846225,0,5000
Tue Mar 29 17:13:39 CST 2016,3854565,0,5000
Tue Mar 29 17:13:49 CST 2016,4048531,0,2500
Tue Mar 29 17:14:00 CST 2016,3856658,0,2500
Tue Mar 29 17:14:10 CST 2016,3856053,0,3750
Tue Mar 29 17:14:20 CST 2016,3845167,0,3750
Tue Mar 29 17:14:30 CST 2016,3854692,0,5000
Tue Mar 29 17:14:41 CST 2016,3503029,0,5000
Tue Mar 29 17:14:51 CST 2016,4049892,0,2500
Tue Mar 29 17:15:01 CST 2016,3852122,0,2500
Tue Mar 29 17:15:11 CST 2016,3852122,0,3750
Tue Mar 29 17:15:22 CST 2016,3688750,0,3750
Tue Mar 29 17:15:33 CST 2016,3842899,0,5000
Tue Mar 29 17:15:43 CST 2016,4032957,0,5000
Tue Mar 29 17:15:53 CST 2016,3854804,0,5000
Tue Mar 29 17:16:03 CST 2016,3863764,0,2500
Tue Mar 29 17:16:13 CST 2016,3851064,0,2500
Tue Mar 29 17:16:23 CST 2016,3855902,0,3750
Tue Mar 29 17:16:33 CST 2016,3856960,0,3750
Tue Mar 29 17:16:43 CST 2016,3851366,0,5000
Tue Mar 29 17:16:54 CST 2016,3853936,0,5000
Tue Mar 29 17:17:04 CST 2016,3856658,0,2500
Tue Mar 29 17:17:14 CST 2016,3855448,0,2500
Tue Mar 29 17:17:24 CST 2016,3506328,0,3750
Tue Mar 29 17:17:34 CST 2016,3853634,0,3750
Tue Mar 29 17:17:44 CST 2016,4049136,0,5000
Tue Mar 29 17:17:54 CST 2016,3848796,0,5000
Tue Mar 29 17:18:04 CST 2016,3846074,0,2500
Tue Mar 29 17:18:14 CST 2016,3856658,0,2500
Tue Mar 29 17:18:24 CST 2016,3850761,0,3750
Tue Mar 29 17:18:35 CST 2016,3865276,0,3750
Tue Mar 29 17:18:45 CST 2016,3848493,0,5000
Tue Mar 29 17:18:55 CST 2016,3859531,0,5000
Tue Mar 29 17:19:05 CST 2016,3840328,0,2500
Tue Mar 29 17:19:15 CST 2016,3863311,0,2500
Tue Mar 29 17:19:25 CST 2016,3854844,0,3750
Tue Mar 29 17:19:36 CST 2016,3863008,0,3750
Tue Mar 29 17:19:46 CST 2016,3854692,0,5000
Tue Mar 29 17:19:56 CST 2016,3853634,0,5000
Tue Mar 29 17:20:06 CST 2016,3857414,0,2500
Tue Mar 29 17:20:16 CST 2016,4045960,0,2500
Tue Mar 29 17:20:26 CST 2016,3504128,0,3750
Tue Mar 29 17:20:36 CST 2016,3871929,0,3750
Tue Mar 29 17:20:46 CST 2016,3855448,0,5000
Tue Mar 29 17:20:56 CST 2016,3854995,0,5000
Tue Mar 29 17:21:06 CST 2016,3855902,0,2500
Tue Mar 29 17:21:17 CST 2016,3855448,0,2500
Tue Mar 29 17:21:27 CST 2016,3849249,0,3750
Tue Mar 29 17:21:37 CST 2016,3849249,0,3750
Tue Mar 29 17:21:47 CST 2016,3852894,0,5000
Tue Mar 29 17:21:57 CST 2016,3856356,0,5000
Tue Mar 29 17:22:07 CST 2016,3851971,0,2500
Tue Mar 29 17:22:17 CST 2016,4047624,0,2500
Tue Mar 29 17:22:28 CST 2016,3857263,0,3750
Tue Mar 29 17:22:38 CST 2016,3854239,0,3750
